brand,ram,rom,Expandable Upto,Processor,Front camera,Rear Camera,Screen Size,battery,Colour,Display,lithium ion battery,avg_rating,original_price
Tecno,4,64,256, MediaTek Helio | G85 ,8,48,17.65,7000,Energy Blue, Full HD ,0,4.2,13499
REDMI,4,64,512, MediaTek Helio | G35 ,5,13,16.59,5000,Carbon Black, HD ,0,4.2,10999
Tecno,4,128,256, Helio G35 ,8,48,16.56,6000,Jewel Blue, HD ,0,4.2,11999
Infinix,8,128,256, MediaTek Dimensity | 900 ,16,48,17.22,5000,Skylight Orange, Full HD ,1,4.2,24999
Mi,8,128,1024, MediaTek Dimensity | 920 ,16,108,16.94,4500,Stealth Black, Full HD AMOLED ,1,4.3,33999
Mi,8,128,1024, MediaTek Dimensity | 920 ,16,108,16.94,4500,Purple Mist, Full HD AMOLED ,1,4.3,33999
OPPO,3,32,256, Qualcomm Snapdragon | 460 ,8,13,16.51,5000,Moonlight Black, HD ,1,4.3,12990
SAMSUNG,6,128,1024, Exynos 850 (S5E3830) ,8,48,16.51,5000,Black, HD ,0,4,17999
Tecno,4,64,256, MediaTek Helio | G35 ,8,50,16.76,5000,Turquoise Cyan, HD ,0,3,12999
Tecno,4,64,512, MediaTek Helio | A25 ,8,13,16.56,5000,Ice Jadeite, HD ,1,4.2,10999
SAMSUNG,8,128,1024, MediaTek Dimensity | 700 ,8,64,16.76,5000,Matte Black, Full HD ,1,4.1,25999
Mi,6,128,1024, MediaTek Dimensity | 920 ,16,108,16.94,4500,Pacific Pearl, Full HD AMOLED ,1,4.2,31999
realme,4,128,1024, MediaTek Dimensity | 700 (MT6833) ,16,48,16.51,5000,Supersonic Blue, Full HD ,0,4.3,16999
realme,8,128,1024, MediaTek Dimensity | 700 (MT6833) ,16,48,16.51,5000,Supersonic Black, Full HD ,0,4.4,18999
Itel,3,64,1024, Unisoc | 9863A ,5,8,16.76,5000,Jewel Blue, HD ,1,4.4,8999
SAMSUNG,3,32,1024, MediaTek Helio | P35 (MT6765) ,5,13,16.51,5000,White, HD ,1,4.1,13499
Tecno,2,32,256, Helio A25 ,8,16,16.56,6000,morpheus blue, HD ,0,4.2,8999
vivo,3,64,256, Qualcomm Snapdragon | 439 ,8,13,16.54,5000,Dawn White, HD ,0,4.3,15490
Tecno,6,128,512, Helio G85 ,16,64,17.27,5000,Frost Silver, Full HD ,0,4.1,15000
realme,8,128,1024, MediaTek Dimensity | 700 (MT6833) ,16,48,16.51,5000,Supersonic Blue, Full HD ,0,4.4,18999
Infinix,6,128,256, MediaTek Helio | G85 ,16,48,17.65,5000,95° Black, Full HD ,1,4.2,14999
POCO,8,128,1024, MediaTek Helio | G96 ,16,64,16.33,5000,Cool Blue, Full HD AMOLED ,1,4.1,21999
Itel,2,32,1024, Unisoc | 9863A  ,5,8,16.56,5000,Gradation Blue, HD ,1,4.1,8499
Tecno,4,64,256, MediaTek Helio | G85 ,8,48,17.65,6999,Polar Silver, Full HD ,0,4.2,13499
REDMI,6,128,512, Helio G88 ,8,50,16.51,6000,Bifrost Blue, Full HD ,0,4.2,16999
Tecno,2,32,256, Unisoc | SC9863A ,5,8,16.56,5000,Deepsea Luster, HD ,0,4.4,8999
Itel,2,32,1024, Unisoc | 9863A  ,5,8,16.56,5000,Gradation Purple, HD ,1,4.1,7499
Tecno,2,32,256, MediaTek Helio | A20 Quad Core ,8,13,16.56,5000,Galaxy Blue, HD ,0,4.2,8999
GIONEE,3,32,256, MediaTek Helio | A20 Quad Core ,8,13,16.56,6000,Black, HD ,1,3.8,9999
SAMSUNG,4,64,512, Qualcomm SDM450-B01 ,8,13,16.51,4000,Black, HD ,1,4.3,14900
realme,3,32,256, MediaTek Helio | G35 ,5,13,16.56,6000,Power Blue, HD ,1,4.4,10999
Mi,3,32,512, Qualcomm Snapdragon | 439 ,8,13,15.8,5000,Sky White, HD ,1,4.2,8999
SAMSUNG,6,128,1024, MediaTek Dimensity | 700 (MT6833V) ,8,48,16.76,5000,Mint, Full HD ,1,4.2,22499
OPPO,6,128,256, Qualcomm Snapdragon | 662 ,16,48,16.33,5000,Glowing Black, Full HD ,0,4.3,22990
Mi,8,128,1024, Qualcomm Snapdragon | 778G ,20,64,16.64,4250,Diamond Dazzle, Full HD ,0,4.3,33999
SAMSUNG,4,64,1024, MediaTek Helio | P35 (MT6765) ,8,48,16.51,5000,Blue, HD ,0,4.2,15999
OPPO,8,256,1024, MediaTek Dimensity | 900 ,32,64,16.33,4500,Startrails Blue, Full HD ,1,4.2,37990
REDMI,6,128,512, MediaTek Helio | G95 ,13,64,16.33,5000,Cosmic Purple, Full HD ,1,4.3,18999
SAMSUNG,8,128,1024, Dimensity 720 5G ,13,48,16.51,5000,Sky Blue, HD ,0,4.2,25999
vivo,4,64,1024, MediaTek Helio | P35 ,8,13,16.54,5000,Diamond Glow, HD ,1,4.3,17990
realme,4,128,256, Unisoc | T610  ,8,50,16.51,5000,Glacier Blue, HD ,0,4.5,13999
Itel,3,64,1024, Unisoc | 9863A ,5,8,16.76,5000,Multi Green, HD ,1,4.4,8999
Itel,3,64,1024, Unisoc | 9863A ,5,8,16.76,5000,Deep Ocean Black, HD ,1,4.4,8999
SAMSUNG,8,128,1024, MediaTek Dimensity | 700 ,8,64,16.76,5000,Matte Aqua, Full HD ,1,4.1,25999
realme,4,128,1024, MediaTek Dimensity | 700 (MT6833) ,16,48,16.51,5000,Supersonic Black, Full HD ,0,4.3,16999
OPPO,4,64,256, MediaTek Helio | G35 ,16,50,16.54,5000,Mint Green, HD ,1,4.3,18990
Itel,2,32,1024, Unisoc | 9863A  ,5,8,16.56,5000,Deep Blue, HD ,1,4.1,8499
Mi,3,32,256, Qualcomm Snapdragon | 625 ,16,12,15.21,3080,Blue, HD ,1,4.5,10499
OPPO,4,64,256, MediaTek Helio | P35  ,8,12,16.51,4230,Lake Green, HD ,0,4.3,12990
vivo,8,128,1024, MediaTek Helio | G80 ,16,50,16.71,5000,Mirror Black, Full HD ,1,4.3,21990
SAMSUNG,8,128,1024, MediaTek Helio | G80 ,20,64,16.26,5000,Awesome Blue, Full HD ,1,4.4,27999
Mi,3,32,512, Qualcomm Snapdragon | 439 ,8,12,15.8,5000,Midnight Black, HD ,0,4.4,8999
SAMSUNG,4,64,1024, Exynos 850 (S5E3830) ,8,48,16.51,5000,Black, HD ,0,4.2,15999
OPPO,6,128,256, Qualcomm Snapdragon | 662 ,16,48,16.33,5000,Space Silver, Full HD ,0,4.2,20990
OPPO,6,128,256, MediaTek Helio | G35 ,16,50,16.54,5000,Mint Green, HD ,1,4.2,20990
REDMI,6,128,512, Helio G88 ,8,50,16.51,6000,Astral White, Full HD ,0,4.2,16999
SAMSUNG,2,32,1024, MediaTek Helio | A20 Quad Core ,5,8,16.51,5000,Black, HD ,1,4,10999
Itel,2,32,1024, Quad Core ,5,5,16.76,4000,Dome Blue, HD ,1,4.4,6799
Itel,2,32,1024, Quad Core ,5,5,16.76,4000,Crystal Purple, HD ,1,4.4,6799
SAMSUNG,2,32,1024, MediaTek Helio | A20 Quad Core ,5,8,16.51,5000,Blue, HD ,1,4,10499
Mi,3,64,512, Qualcomm Snapdragon | 439 ,8,13,15.8,5000,Sea Blue, HD ,1,4.2,9999
Tecno,4,64,256, MediaTek Helio | G35 ,8,50,16.76,5000,Atlantic Blue, HD ,0,3,11999
Nokia,4,64,512, Qualcomm Snapdragon | 460 ,8,13,16.23,4000,Fjord BLUE, HD ,1,4,13999
vivo,8,128,1024, MediaTek Dimensity | 810 ,44,50,16.36,4050,Sunshine Gold, Full HD AMOLED ,1,4.1,28990
Tecno,2,32,256, MediaTek Helio | A20 Quad Core ,8,13,16.56,5000,Maldives Blue, HD ,0,4.2,8999
REDMI,2,32,512, Qualcomm Snapdragon | 439 ,8,13,15.8,5000,Sky White, HD ,1,4.3,8499
SAMSUNG,4,64,1024, MediaTek Helio | P35 (MT6765) ,8,48,16.51,5000,Black, HD ,0,4.2,13999
SAMSUNG,6,128,1024, Qualcomm Snapdragon | 720G ,32,64,16.51,4500,Awesome Black, Full HD ,1,4.3,30499
vivo,8,128,1024, Qualcomm Snapdragon | 665 ,32,48,16.36,4100,Aquamarine Green, Full HD ,1,4.3,24990
LAVA,2,32,256, MediaTek Helio | Quad Core ,8,13,17.78,6000,Stroked Blue, HD ,1,4.3,8449
realme,3,32,256, Qualcomm Snapdragon | 460 ,8,13,16.56,6000,Power Silver, HD ,1,4.3,11999
realme,8,128,256, MediaTek Dimensity | 800U ,16,48,16.51,5000,Blade Silver, Full HD ,0,4.3,21999
SAMSUNG,8,128,1024, Exynos 9825 ,32,64,17.02,7000,Laser Green, Full HD ,1,4.3,31999
LAVA,3,32,1024, Unisoc | T610  ,13,13,15.44,3950,Marine Blue, HD ,1,4,8499
SAMSUNG,4,64,1024, MediaTek Helio | P35 (MT6765) ,8,48,16.51,5000,White, HD ,0,4.2,13999
Mi,6,128,1024, MediaTek Dimensity | 920 ,16,108,16.94,4500,Purple Mist, Full HD AMOLED ,1,4.2,31999
Mi,6,128,1024, Qualcomm Snapdragon | 778G ,20,64,16.64,4250,Jazz Blue, Full HD ,0,4.3,31999
SAMSUNG,6,128,1024, MediaTek Helio | G35 (MT6765G) ,8,48,16.51,5000,Blue, HD ,0,4,17999
Infinix,4,64,256, MediaTek Helio | G70 ,16,48,17.65,5000,Forest Green, HD ,1,4.3,14999
Infinix,6,64,256, MediaTek Helio | G85 ,8,48,17.32,6000,7° Purple, HD ,1,4.3,13999
Mi,4,128,512, Qualcomm® Snapdragon™ 720G ,16,48,16.94,5020,Glacier White, Full HD ,0,4.4,18999
Mi,1,16,1024, Qualcomm Snapdragon | 425 ,5,8,12.7,3000,Blue, HD ,1,4.3,5999
Tecno,2,64,256, MediaTek Helio | A25 ,8,16,16.56,5000,Turquoise Cyan, HD ,0,4.1,9999
Tecno,3,32,256, Helio A22 ,5,8,16.56,6000,Deepsea Luster, HD ,0,4,10990
Panasonic,2,16,256, MediaTek ,5,8,13.84,3000,Black, FWVGA ,0,3.7,10990
OPPO,4,64,256, MediaTek Helio | G35 ,16,50,16.54,5000,Rainbow Blue, HD ,1,4.3,18990
Maplin,6,64,64, MediaTek ,10,13,15.9,5000,Electric Blue, Full HD ,0,3.8,14999
realme,8,128,256, Qualcomm Snapdragon | 720G ,32,64,16.26,4500,Mirror Silver, Full HD ,1,4.4,22999
vivo,4,128,1024, MediaTek Helio | P35 ,8,13,16.54,5000,Midnight Blue, HD ,1,4.3,19490
OPPO,3,32,256, MediaTek Helio | P35 (MT6765) ,5,13,16.56,4230,Mystery Blue, HD ,1,4.3,12990
SAMSUNG,4,64,512, Qualcomm Snapdragon | (SDM450-F01)  ,8,13,16.26,5000,Black, HD ,1,4.2,14999
Tecno,6,64,512, Helio G80 ,8,48,16.76,5000,Alps Blue, HD ,0,4,13999
SAMSUNG,4,64,1024, MediaTek Helio | P35 (MT6765) ,5,13,16.51,5000,Blue, HD ,1,4.1,14499
OPPO,6,128,256, Qualcomm Snapdragon | 662 ,16,48,16.33,5000,Midnight Blue, Full HD ,0,4.2,20990
SAMSUNG,8,128,1024, MediaTek Helio | G80 ,20,64,16.26,5000,Awesome Black, Full HD ,1,4.4,27999
Nokia,2,32,1024, Unisoc | SC9863A ,2,5,13.84,3000,Grey, HD ,1,3.9,7999
SAMSUNG,6,128,1024, Qualcomm Snapdragon | 720G ,32,64,16.51,4500,Awesome Blue, Full HD ,1,4.3,30499
SAMSUNG,8,128,1024, Dimensity 720 5G ,13,48,16.51,5000,Slate Black, HD ,0,4.2,25999
SAMSUNG,6,128,1024, Qualcomm Snapdragon | 778G ,32,64,16.51,4500,Awesome Black, Full HD ,1,4.2,38999
Maplin,4,32,256, Cortex A53 1.5Ghz  ,16,16,13.97,4000,Aroma Gold, Full HD ,0,3.6,12999
REDMI,4,64,1024, Qualcomm Snapdragon | 680 ,5,50,17.02,6000,Pacific Blue, HD ,1,4.4,14999
Itel,2,32,1024, Quad Core ,5,5,16.76,4000,Sky Cyan, HD ,1,4.4,6799
REDMI,6,128,512, Qualcomm Snapdragon | 732G ,16,64,16.94,5020,Vintage Bronze, Full HD ,1,4.3,19999
SAMSUNG,4,64,1024, MediaTek Helio | P35 (MT6765) ,5,13,16.51,5000,Black, HD ,1,4.1,14499
LAVA,2,32,512, MediaTek Helio |  ,5,8,16.54,5000,Striped Blue, HD ,1,4.3,7999
SAMSUNG,6,128,1024, MediaTek Helio | G35 (MT6765G) ,8,48,16.51,5000,Black, HD ,0,4,17999
vivo,6,128,1024, Qualcomm Snapdragon | 662 ,16,48,16.71,5000,Titanium Sapphire, Full HD ,1,4.3,20990
SAMSUNG,8,128,1024, Qualcomm SM7325 Snapdragon ,32,64,17.02,5000,Blazing Black, Full HD ,0,4.3,36990
SAMSUNG,3,32,512, Qualcomm SDM450-B01 ,8,13,16.51,4000,Green, HD ,1,4.3,12900
SAMSUNG,8,128,1024, MediaTek Dimensity | 700 (MT6833V) ,8,48,16.76,5000,Mint, Full HD ,1,4.1,23999
OPPO,6,64,256, MediaTek Helio | P60 Octacore 2.0 GHz ,25,16,16,3500,Starry Purple, Full HD ,1,4.5,25990
vivo,8,128,1024, Qualcomm Snapdragon | 662 ,16,48,16.71,5000,Crystal Symphony, Full HD ,1,4.3,21990
SAMSUNG,4,64,512, Qualcomm Snapdragon | (SDM450-F01)  ,8,13,16.26,5000,Metallic Blue, HD ,1,4.2,14999
Mi,4,128,512, Qualcomm® Snapdragon™ 720G ,16,48,16.94,5020,Champagne Gold, Full HD ,0,4.4,17999
LAVA,2,32,256, MediaTek Helio | Quad Core ,8,13,17.78,6000,Stroked Cyan, HD ,1,4.3,8449
REDMI,6,64,512, Qualcomm Snapdragon | 720G ,32,64,16.94,5020,Champagne Gold, Full HD ,1,4.4,18999
OPPO,8,128,256, MediaTek Helio | P95 (MT6779V) ,16,48,16.33,4310,Crystal Silver, Full HD ,0,4.3,23990
Mi,6,128,512, Qualcomm® Snapdragon™ 720G ,16,48,16.94,5020,Champagne Gold, Full HD ,0,4.4,19999
Nokia,3,64,512, MediaTek Helio | P22 ,5,13,16.51,4500,Dusk Purple, HD ,1,4.1,11499
Micromax,4,128,256, MediaTek Helio | G85 (MT6769V/CZ) ,16,48,16.94,5000,Green, Full HD ,1,4.2,16999
SAMSUNG,6,128,1024, Exynos 850 (S5E3830) ,8,48,16.51,5000,Blue, HD ,0,4,17999
realme,8,128,256, MediaTek Helio | G95 ,16,64,16.51,5000,Mist White, Full HD ,1,4.3,20999
Nokia,3,64,512, MediaTek Helio | P22 ,5,13,16.51,4500,Fjord Blue, HD ,1,4.1,11499
OPPO,8,128,256, MediaTek Dimensity | 800U ,16,48,16.33,4310,Space Silver, Full HD ,1,4.3,29990
Mi,6,128,512, Qualcomm Snapdragon | 732G ,16,64,16.64,4250,Vinyl Black, Full HD ,1,4.2,24999
realme,8,128,256, Qualcomm Snapdragon | 720G ,16,108,16.26,4500,Infinite Black, Full HD ,0,4.4,21999
Maplin,4,32,256, Cortex A53 1.5Ghz  ,16,16,13.97,4000,Aroma Black, Full HD ,0,4.7,12999
REDMI,6,128,512, Qualcomm Snapdragon | 678 ,13,48,16.33,5000,Frost White, Full HD ,1,4.3,17999
SAMSUNG,8,128,1024, Exynos  ,32,12,16.51,4500,Cloud Navy, Full HD ,1,4,74999
vivo,6,128,1024, Qualcomm Snapdragon | 662 ,16,48,16.71,5000,Crystal Symphony, Full HD ,1,4.3,20990
vivo,4,64,1024, MediaTek Helio | G80 ,8,13,16.54,5000,Purist Blue, HD ,1,4.3,16990
REDMI,6,128,512, Qualcomm Snapdragon | 732G ,16,108,16.94,5020,Vintage Bronze, Full HD ,1,4.2,22999
Tecno,4,64,256, MediaTek Helio | G70 ,16,64,17.27,5000,Cloud White, HD ,1,4.3,13999
vivo,6,128,256, MediaTek Helio | P35 ,8,13,16.43,5000,Dazzle Blue, HD ,1,4.3,18990
OPPO,6,128,1024, Qualcomm Snapdragon | 680 ,8,13,16.66,5000,Glowing Blue, HD ,1,4.4,21499
SAMSUNG,4,64,1024, Exynos 850 (S5E3830) ,8,48,16.51,5000,Blue, HD ,0,4.2,15999
Tecno,4,64,256, MediaTek Helio | G80 ,8,16,17.27,6000,Magic Blue, HD ,1,4.3,11999
realme,3,32,256, MediaTek Helio | P60  2.0 GHz ,13,13,15.8,4230,Diamond Blue, HD ,0,4.4,8999
OPPO,6,128,1024, Qualcomm Snapdragon | 680 ,8,13,16.66,5000,Glowing Black, HD ,1,4.4,21499
OPPO,8,128,256, MediaTek Helio | P95 (MT6779V) ,16,48,16.33,4310,Fantastic Purple, Full HD ,0,4.3,23990
OPPO,8,256,256, MediaTek Helio | P95 (MT6779V) ,16,48,16.33,4310,Fluid Black, Full HD ,0,4.3,25990
OPPO,6,128,256, MediaTek Helio | G35 ,16,50,16.54,5000,Starry Black, HD ,1,4.2,20990
Mi,2,32,256, Qualcomm Snapdragon | 439 ,5,12,13.84,4000,Matte Gold, HD ,1,4.3,6999
REDMI,8,128,512, Qualcomm Snapdragon | 720G ,32,64,16.94,5020,Aurora Blue, Full HD ,1,4.4,22999
realme,3,32,256, MediaTek Helio | P60  2.0 GHz ,13,13,15.8,4230,Diamond Black, HD ,0,4.4,8999
SAMSUNG,8,128,512, Qualcomm SM6150 ,32,64,17.02,4500,Prism Crush Red, Full HD ,1,4.3,33100
OPPO,8,128,256, MediaTek Helio | P95 (MT6779V) ,16,48,16.33,4310,Fluid Black, Full HD ,0,4.3,23990
Nokia,2,32,1024, Unisoc | SC9863A ,2,5,13.84,3000,Blue, HD ,1,3.9,7999
vivo,4,128,256, MediaTek Helio | P35 ,8,13,16.43,5000,Emerald Black, HD ,1,4.3,18990
realme,3,32,256, MediaTek Helio | G35 ,8,13,16.56,6000,Power Blue, HD ,1,4.3,11999
OPPO,8,128,256, Qualcomm Snapdragon | 720G  ,32,48,16.51,4000,Starry Night, Full HD ,1,4.4,37990
vivo,4,64,1024, MediaTek Helio | G80 ,8,13,16.54,5000,Obsidian Black, HD ,1,4.3,16990
SAMSUNG,8,128,512, Qualcomm SM6150 ,32,64,17.02,4500,Prism Crush White, Full HD ,1,4.3,33100
OPPO,8,128,256, Qualcomm Snapdragon | 720G  ,32,48,16.51,4000,Silky White, Full HD ,1,4.4,37990
Maplin,6,64,256, Mediatek ,8,13,15.9,5000,Eletric Blue, HD ,0,3.8,14999
Mi,8,128,512, Qualcomm Snapdragon | 732G ,16,64,16.64,4250,Tuscany Coral, Full HD ,1,4.2,25999
Mi,6,128,512, Qualcomm Snapdragon | 732G ,16,64,16.64,4250,Jazz Blue, Full HD ,1,4.2,24999
Mi,8,128,512, Qualcomm Snapdragon | 732G ,16,64,16.64,4250,Jazz Blue, Full HD ,1,4.2,25999
Mi,8,128,512, Qualcomm Snapdragon | 732G ,16,64,16.64,4250,Vinyl Black, Full HD ,1,4.2,25999
Maplin,6,64,64, MediaTek ,10,13,15.9,5000,Phantom Black, Full HD ,0,3.8,14999
POCO,6,64,512, Qualcomm Snapdragon | 720G ,16,48,16.94,5000,Two Shades of Black, Full HD ,1,4.4,17999
LAVA,8,128,256, MediaTek Dimensity | 810 ,16,64,17.22,5000,Fiery Blue, Full HD ,1,4.3,23999
SAMSUNG,8,128,512, Samsung Exynos 9 Octa 9611 ,32,64,16.26,6000,Ocean Blue, Full HD ,0,4.3,21999
Micromax,4,64,256, MediaTek Helio | G80 ,8,48,16.94,5000,Blue, Full HD ,1,4.1,14999
realme,8,128,256, Qualcomm Snapdragon | SDM712  2.3 GHz ,16,48,16,4035,Chroma White, Full HD ,0,4.5,16999
realme,8,128,256, Qualcomm Snapdragon | SDM712  2.3 GHz ,16,48,16,4035,Sparkling Blue, Full HD ,0,4.5,17999
realme,6,64,256, Qualcomm Snapdragon | SDM712  2.3 GHz ,16,48,16,4035,Crystal Green, Full HD ,0,4.5,15999
Mi,3,32,256, 2.0 GHz Mediatek P22 Octacore ,5,12,13.84,3000,Black, HD ,1,4.4,8999
vivo,3,32,256, MT6762  (Helio P22) ,5,13,15.49,3260,Gold, HD ,1,4.4,13990
Micromax,4,64,256, ARM Cortex A75  ,5,13,16.56,5000,Black, HD ,0,3.9,10499
REDMI,8,128,512, MediaTek Helio | G90T ,20,64,16.59,4500,Halo White, Full HD ,1,4.4,19999
Panasonic,3,32,512, Meditek ,8,13,15.8,4000,Charcoal Black, HD ,0,3.9,14990
Tecno,4,64,512, MediaTek Helio | A25 ,8,13,16.56,5000,Mystery White, HD ,1,4.2,10999
Itel,2,32,1024, Cortex A55 architecture () ,5,8,15.46,4000,Gradation Blue, HD ,0,4.1,7999
realme,4,64,256, Unisoc | T610  ,8,50,16.51,5000,Glacier Blue, HD ,0,4.5,12999
REDMI,6,128,512, Qualcomm Snapdragon | 678 ,13,48,16.33,5000,Aqua Green, Full HD ,1,4.3,17999
vivo,8,128,1024, Qualcomm Snapdragon | 662 ,16,48,16.71,5000,Titanium Sapphire, Full HD ,1,4.3,21990
Mi,4,64,256, Qualcomm Snapdragon | 660 AIE ,13,12,16,4000,Ruby Red, Full HD ,1,4.5,14999
Mi,4,64,512, Qualcomm Snapdragon | 632 ,32,12,15.9,4000,Bold Red, HD ,0,4.3,13999
SAMSUNG,8,128,1024, Qualcomm Snapdragon | 720G ,32,64,16.51,4500,Awesome Black, Full HD ,1,4.4,29499
vivo,3,32,256, MT6762  (Helio P22) ,5,13,15.49,3260,Black, HD ,1,4.4,13990
vivo,6,128,256, Qualcomm Snapdragon | 675AIE  2.0GHz ,32,48,16.23,3700,Ruby Red, Full HD ,1,4.5,32990
SAMSUNG,6,128,1024, MediaTek Helio | G80 ,20,64,16.26,6000,Light Blue, Full HD ,0,4.3,18990
Micromax,4,64,256, MediaTek Helio | G80 ,8,48,16.94,5000,Purple, Full HD ,1,4.1,14999
realme,8,128,256, MediaTek Helio | G95 ,16,64,16.51,5000,Mist Blue, Full HD ,1,4.3,20999
REDMI,6,128,512, MediaTek Helio | G85 ,13,48,16.59,5020,Scarlet Red, Full HD ,0,4.3,18999
SAMSUNG,1,16,256, Qualcomm MSM8917 ,5,8,12.7,2600,Black, quarter HD ,1,4.2,6999
POCO,4,64,512, Qualcomm Snapdragon | 662 ,8,48,16.59,6000,Power Black, Full HD ,1,4.3,11999
Tecno,6,128,256, Helio G25 ,8,13,17.27,6000,Obsidian Black, HD ,0,4.2,15499
SAMSUNG,4,64,512, Exynos 9610 ,25,25,16.26,4000,White, Full HD ,1,4.3,21000
vivo,8,256,1024, Qualcomm Snapdragon | 720G ,44,64,16.36,4000,Midnight Jazz, Full HD ,1,4.4,30999
Micromax,4,64,256, MediaTek Helio | G95 ,16,48,16.33,5000,Black, Full HD AMOLED ,0,4.2,17999
SAMSUNG,4,64,1024, MediaTek Helio | P35 (MT6765) ,5,13,16.51,5000,White, HD ,1,4.1,14499
Mi,4,64,256, Qualcomm Snapdragon | 660 AIE ,13,12,16,4000,Sapphire Blue, Full HD ,1,4.5,14999
SAMSUNG,1,8,256, Exynos 7570 ,5,8,12.7,2600,Black, quarter HD ,0,4.2,6400
OPPO,6,128,256, Qualcomm Snapdragon | 460 ,16,13,16.51,5000,Mint Cream, HD ,1,4.4,17990
Mi,3,32,256, 2.0 GHz Mediatek P22 Octacore ,5,12,13.84,3000,Gold, HD ,1,4.4,8999
vivo,3,32,256, Qualcomm Snapdragon | 665 AIE ,8,13,16.13,5000,Electric Blue, HD ,1,4.4,10990
vivo,8,128,1024, MediaTek Dimensity | 1200 ,50,108,16.66,4300,Stardust Black, Full HD ,1,4.3,41990
POCO,6,128,1024, Qualcomm Snapdragon | 860 ,20,48,16.94,5160,Steel Blue, Full HD ,1,4.4,23999
vivo,3,32,256, Qualcomm Snapdragon | 439 ,8,13,15.8,4030,Nebula Purple, HD ,0,4.4,10990
MOTOROLA,4,64,512, MediaTek Helio | P22 ,8,13,15.49,3000,Rich Cranberry, HD ,0,4.1,9999
SAMSUNG,6,128,512, Exynos 850  ,13,48,16.51,5000,Silver, HD ,1,4.2,18999
realme,8,128,256, Qualcomm Snapdragon | 720G ,32,64,16.26,4500,Mirror Blue, Full HD ,1,4.4,25999
Mi,2,32,512, Qualcomm Snapdragon | 439 ,8,12,15.8,5000,Sunset Red, HD ,0,4.4,7999
OPPO,2,32,256, MediaTek Helio | P35  ,5,13,15.8,4230,Deep Blue, HD ,1,4.2,10990
Mi,4,64,1024, Qualcomm Snapdragon | 625 ,5,12,15.21,4000,Gold, Full HD ,1,4.4,11999
realme,2,32,256, MediaTek Helio | G35 ,5,13,16.51,5000,Rich Grey, HD ,0,4.4,8999
GIONEE,2,16,256, MediaTek MT6739 ,5,8,13.84,2670,Black, HD ,1,4,8479
GIONEE,2,16,256, MediaTek MT6739 ,5,8,13.84,2670,Black and Gold, HD ,1,4,8479
Mi,2,32,512, Qualcomm Snapdragon | 439 ,8,12,15.8,5000,Midnight Black, HD ,0,4.4,7999
vivo,2,16,256, MediaTek Helio | A22 ,5,13,15.8,3260,Black, HD ,1,4.4,10990
Mi,6,128,1024, Qualcomm Snapdragon | 778G ,20,64,16.64,4250,Vinyl Black, Full HD ,0,4.3,31999
SAMSUNG,4,64,256, Exynos 8895  2.3GHz ,8,12,14.73,3000,Burgundy Red, Quad HD ,0,4.6,51000
vivo,3,64,256, Qualcomm Snapdragon | 439 ,8,13,16.54,5000,Phantom Black, HD ,1,4.3,14990
SAMSUNG,3,64,256, Exynos 7870  1.6 GHz ,8,13,13.97,3300,Gold, Full HD ,1,4.3,17900
Mi,4,128,512, Qualcomm Snapdragon | 720G ,16,48,16.94,5020,Aurora Blue, Full HD ,0,4.4,17999
vivo,4,64,256, Qualcomm Snapdragon | 712 AIE  2.3GHz ,32,16,16.59,5000,Sonic Black, Full HD ,0,4.5,15990
vivo,6,64,256, Qualcomm Snapdragon | 712 AIE  2.3GHz ,32,16,16.59,5000,Sonic Blue, Full HD ,0,4.5,17990
Maplin,6,128,256, Cortex A53 2.5Ghz  ,16,16,15.9,5000,Charcoal Ink, Full HD ,0,4.4,24999
LAVA,2,16,1024, Unisoc |  ,5,8,13.84,3100,Champagne Gold, HD ,1,4,6499
vivo,4,32,256, MediaTek Helio | P22 ,8,13,15.8,3260,Gold, HD ,1,4.4,15990
Infinix,3,32,1024, MediaTek Helio | P23  ,16,12,15.21,4500,Milan Black, Full HD ,1,4.2,10999
MOTOROLA,4,64,256, MediaTek Helio | P35 ,8,16,16.51,5000,Arctic Blue, HD ,1,4.3,9999
Micromax,6,64,256, ARM Cortex A75  ,5,13,16.56,5000,Black, HD ,0,3.9,11999
Micromax,6,64,256, ARM Cortex A75  ,5,13,16.56,5000,Green, HD ,0,3.9,11999
Micromax,6,64,256, ARM Cortex A75  ,5,13,16.56,5000,Blue, HD ,0,3.9,11999
Micromax,4,64,256, ARM Cortex A75  ,5,13,16.56,5000,Blue, HD ,0,3.9,10499
Micromax,4,64,256, ARM Cortex A75  ,5,13,16.56,5000,Green, HD ,0,3.9,10499
realme,8,128,256, Snapdragon 720G ,16,64,16.76,4300,Lightning Blue, Full HD ,0,4.4,19999
realme,6,64,256, Snapdragon 720G ,16,64,16.76,4300,Lightning Red, Full HD ,0,4.4,17999
realme,2,16,256, MediaTek P22  2.0 GHz ,5,13,15.49,4000,Diamond Blue, HD ,0,4.4,6999
vivo,4,64,256, MediaTek Helio | P22 ,16,13,16.13,5000,Burgundy Red, HD ,0,4.4,15990
vivo,4,64,256, MediaTek Helio | P22 ,16,13,16.13,5000,Aqua Blue, HD ,0,4.4,15990
OPPO,4,128,256, Qualcomm Snapdragon | 665 ,16,48,16.56,5000,Vanilla Mint, HD ,0,4.3,18990
