brand,ram,rom,Expandable Upto,Processor,Front camera,Rear Camera,Screen Size,battery,Colour,Display,lithium ion battery,avg_rating,original_price
OPPO,4,64,256, MediaTek Helio | P35 ,16,13,16.54,5000,Crystal Black, HD ,1,4.3,14990
realme,6,128,256, Qualcomm Snapdragon | 695 ,16,64,16.76,5000,Aurora Green, Full HD ,1,4.4,21999
realme,6,128,256, Qualcomm Snapdragon | 695 ,16,64,16.76,5000,Sunrise Blue, Full HD ,1,4.4,21999
realme,6,128,256, Qualcomm Snapdragon | 695 ,16,64,16.76,5000,Midnight Black, Full HD ,1,4.4,21999
realme,4,128,256, MediaTek Helio | G95 ,16,64,16.26,5000,Cyber Silver, Full HD ,0,4.3,16999
realme,4,128,256, MediaTek Helio | G95 ,16,64,16.26,5000,Cyber Black, Full HD ,0,4.3,16999
POCO,4,64,512, MediaTek Helio | G35 ,5,13,16.59,5000,Matte Black, HD ,1,4.3,10999
MOTOROLA,4,64,1024, MediaTek Helio | G85 ,13,50,16.26,5000,Meteorite Grey, Full HD ,1,4.3,13999
OPPO,4,128,256, MediaTek Helio | P35 ,16,13,16.54,5000,Crystal Black, HD ,1,4.3,15990
OPPO,6,128,256, MediaTek Helio | P35 ,16,13,16.54,5000,Crystal Black, HD ,1,4.3,17990
Infinix,4,64,512, MediaTek Helio | G88 ,16,50,17.02,5000,Glacier Green, Full HD AMOLED ,1,4.2,14999
Infinix,4,64,512, MediaTek Helio | G88 ,16,50,17.02,5000,Celestial Snow, Full HD AMOLED ,1,4.2,14999
realme,4,64,256, Octa-core ,5,8,16.51,5000,Cool Blue, HD ,0,4.3,9999
SAMSUNG,4,64,512, Exynos 850 ,8,48,16.55,6000,Sea Green, HD ,1,4.3,12999
Infinix,4,64,256, MediaTek Helio | G35 ,8,13,17.32,6000,Aegean Blue, HD ,1,4.3,10999
Infinix,4,64,256, MediaTek Helio | G35 ,8,13,17.32,6000,Obsidian Black, HD ,1,4.3,10999
Infinix,4,64,256, MediaTek Helio | G35 ,8,13,17.32,6000,Morandi Green, HD ,1,4.3,10999
REDMI,6,64,512, MediaTek Helio | G95 ,13,64,16.33,5000,Frost White, Full HD ,1,4.3,16999
realme,8,128,256, Qualcomm Snapdragon | 695 ,16,64,16.76,5000,Aurora Green, Full HD ,1,4.4,23999
vivo,8,128,1024, Qualcomm Snapdragon | 695 ,16,50,16.71,5000,Rainbow Fantasy, Full HD ,1,4.3,23990
POCO,6,128,1024, MediaTek Dimensity | 810 ,16,50,16.76,5000,Cool Blue, Full HD ,1,4.4,19999
vivo,8,128,1024, Qualcomm Snapdragon | 695 ,16,50,16.71,5000,Starlight Black, Full HD ,1,4.3,23990
OPPO,4,64,256, MediaTek Helio | P35 ,16,13,16.54,5000,Starry Blue, HD ,1,4.3,14990
realme,8,128,256, MediaTek Helio | G95 ,16,64,16.26,5000,Cyber Black, Full HD ,0,4.4,18999
realme,8,128,256, MediaTek Helio | G95 ,16,64,16.26,5000,Cyber Silver, Full HD ,0,4.4,18999
realme,8,128,1024, Qualcomm Snapdragon | 778G ,16,48,16.76,5000,Starry Glow, Full HD ,1,4.5,26999
Infinix,4,64,256, MediaTek Helio | G70 ,8,13,16.76,5200,Emerald Green, Full HD ,1,4.4,11999
Infinix,2,32,256, MediaTek Helio | G25 ,8,13,17.32,6000,Morandi Green, HD ,1,4.3,8999
Infinix,2,32,256, MediaTek Helio | G25 ,8,13,17.32,6000,Aegean Blue, HD ,1,4.3,8999
Infinix,2,32,256, MediaTek Helio | G25 ,8,13,17.32,6000,7 Purple, HD ,1,4.3,8999
realme,6,128,1024, MediaTek Dimensity | 700 (MT6833) ,16,48,16.51,5000,Racing Blue, Full HD ,0,4.3,17999
Infinix,2,32,256, MediaTek Helio | A20 ,8,8,16.56,5000,Ocean Wave, HD ,1,4.4,7999
Infinix,2,32,256, MediaTek Helio | A20 ,8,8,16.56,5000,Midnight Black, HD ,1,4.4,7999
MOTOROLA,6,128,1024, MediaTek Helio | G85 ,13,50,16.26,5000,Meteorite Grey, Full HD ,1,4.2,16999
OPPO,8,128,256, MediaTek Helio | P95 ,16,48,16.33,4015,Matte Black, Full HD ,1,4.3,25990
POCO,6,128,1024, MediaTek Dimensity | 810 ,16,50,16.76,5000,Power Black, Full HD ,1,4.4,19999
REDMI,4,64,512, MediaTek Helio | G25 ,5,13,16.59,5000,Midnight Black, HD ,1,4.3,9999
realme,8,128,1024, MediaTek Dimensity | 810 5G ,16,64,16.51,5000,Universe Blue, Full HD ,0,4.4,22999
realme,6,128,1024, Qualcomm Snapdragon | 778G ,16,48,16.76,5000,Azure Glow, Full HD ,1,4.5,24999
realme,8,128,1024, Qualcomm Snapdragon | 778G ,16,48,16.76,5000,Azure Glow, Full HD ,1,4.5,26999
OPPO,6,128,1024, MediaTek Dimensity | 700 ,8,13,16.56,5000,Ink Black, HD ,0,4.4,16990
OPPO,8,128,1024, MediaTek Dimensity | 700 ,8,13,16.56,5000,Ink Black, HD ,0,4.3,18990
SAMSUNG,4,128,1024, Qualcomm Snapdragon | 750G ,8,50,16.76,5000,Aqua Blue, Full HD ,1,4,22999
realme,4,64,1024, MediaTek Dimensity | 810 ,16,48,16.51,5000,Meteor Black, Full HD ,1,4.4,18999
realme,6,128,1024, MediaTek Dimensity | 810 ,16,48,16.51,5000,Stargaze White, Full HD ,1,4.4,20999
SAMSUNG,6,128,1024, MediaTek Helio | G80 ,13,48,16.26,6000,Denim Blue, HD ,1,4.3,16999
realme,6,128,1024, MediaTek Dimensity | 700 (MT6833) ,16,48,16.51,5000,Racing Silver, Full HD ,0,4.3,17999
POCO,6,128,1024, MediaTek Dimensity | 810 ,16,50,16.76,5000,Yellow, Full HD ,1,4.4,19999
SAMSUNG,4,128,1024, Qualcomm Snapdragon | 750G ,8,50,16.76,5000,Forest Green, Full HD ,1,4,22999
